name,description,price,stock_quantity,image
"Essential Cotton T-Shirt","Soft cotton crew neck t-shirt. Classic fit for everyday wear. Made from 100% organic cotton.","19.99","10","/images/product-1.jpg"
"Oversized Relaxed Fit Hoodie","Cozy oversized hoodie with kangaroo pocket. Perfect for layering. Fleece-lined interior. Unisex design.","49.99","10","/images/product-2.jpg"
"Slim Fit High-Rise Jeans","High-rise slim fit jeans with stretch. Five-pocket style. Comfortable for all-day wear.","59.99","10","/images/product-3.jpg"
"Linen Blend Blazer","Lightweight linen blend blazer. Perfect for smart casual.","89.99","10","/images/product-4.jpg"
"Floral Midi Dress","Flowy midi dress with all-over floral print. Adjustable straps. Lined for opacity. Ideal for summer.","45.99","10","/images/product-5.jpg"
"Quilted Puffer Jacket","Lightweight quilted puffer jacket. Water-resistant exterior.","79.99","0","/images/product-6.jpg"
"Classic Leather Belt","Genuine leather belt with silver buckle. Timeless design. One size fits most waist sizes.","29.99","10","/images/product-7.jpg"
"Canvas Crossbody Bag","Compact canvas crossbody bag with adjustable strap. Main compartment with inner pocket.","34.99","10","/images/product-8.jpg"
"Wide Leg Trousers","High-waist wide leg trousers. Tailored fit. Crease-resistant fabric. Office to evening ready.","54.99","10","/images/product-9.jpg"
"Striped Breton Top","Classic Breton striped top. Boat neck with three-quarter sleeves. French-inspired timeless style.","39.99","10","/images/product-10.jpg"
"Fleece Jogger Pants","Comfortable fleece joggers with elastic waist and cuffs. Side pockets. Lounge or casual wear.","44.99","10","/images/product-11.jpg"
"Knit Cardigan","Chunky knit cardigan with button front. Oversized fit. Soft acrylic blend. Layering essential.","55.99","10","/images/product-12.jpg"
"Denim Mini Skirt","A-line denim skirt with button front. Mid-rise. Light wash. Pairs with everything.","42.99","10","/images/product-13.jpg"
"Ankle Boots","Leather-look ankle boots with side zip. Low heel. Versatile for dress or casual.","69.99","10","/images/product-14.jpg"
"Canvas Sneakers","Low-top canvas sneakers. Rubber sole. Classic lace-up. Easy to style.","39.99","10","/images/product-15.jpg"